series,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64
series_0,0.04827554151415825,0.2080134004354477,0.3013449013233185,0.42648494243621826,0.0441889613866806,0.266867071390152,-0.265438437461853,-0.039776209741830826,-0.23291847109794617,-0.047749053686857224,-0.18190418183803558,-0.22485265135765076,-0.22020812332630157,0.2600378692150116,-0.08780815452337265,-0.4087606966495514,-0.38326242566108704,-0.12972089648246765,0.3028396666049957,-0.2915092408657074,-0.163551926612854,-0.08200497925281525,0.3893544673919678,0.1659151166677475,0.07984431087970734,0.024731513112783432,0.26717379689216614,0.292997270822525,0.024604450911283493,-0.12222931534051895,-0.35420799255371094,0.06796422600746155,0.06289158761501312,-0.20111942291259766,0.0394480936229229,0.07658365368843079,-0.06154610589146614,-0.441797137260437,-0.23050157725811005,0.4908768832683563,0.016311919316649437,-0.12888379395008087,0.15439224243164062,0.03169148042798042,0.20812439918518066,-0.020976081490516663,-0.3530438244342804,-0.22775870561599731,0.3422452211380005,-0.3206089735031128,-0.33585211634635925,0.20974400639533997,0.1979881078004837,0.46606650948524475,0.13928484916687012,-0.08464610576629639,-0.4533272087574005,0.05110635235905647,-0.3841592073440552,-0.2544659674167633,-0.09188486635684967,-0.536979615688324,0.07047442346811295,0.011147950775921345
series_1,0.05555121228098869,0.25757619738578796,0.35974740982055664,0.4898521900177002,0.003180566243827343,0.29223957657814026,-0.289573073387146,-0.042145900428295135,-0.2384539246559143,-0.08978297561407089,-0.2192816138267517,-0.1951310783624649,-0.1814105212688446,0.2906474173069,-0.11320296674966812,-0.42615577578544617,-0.3787427544593811,-0.10381815582513809,0.34865802526474,-0.23606090247631073,-0.18829163908958435,-0.0451047420501709,0.385591596364975,0.15206824243068695,0.09106168895959854,-0.012011882849037647,0.2946229577064514,0.2994005084037781,0.08492126315832138,-0.15736337006092072,-0.42680346965789795,0.10439211875200272,0.04718860238790512,-0.17217426002025604,0.03525766730308533,0.0955323874950409,-0.028605928644537926,-0.49633944034576416,-0.2467103898525238,0.5043929219245911,0.007296448107808828,-0.19804148375988007,0.1843489110469818,0.018973471596837044,0.2253313511610031,-0.02901509404182434,-0.3652307689189911,-0.27266883850097656,0.361439049243927,-0.37776729464530945,-0.3560904562473297,0.18575714528560638,0.20162183046340942,0.5262681841850281,0.15548136830329895,-0.0767877921462059,-0.4962879419326782,0.019692087545990944,-0.37461748719215393,-0.2061343640089035,-0.09876828640699387,-0.6107059121131897,0.07599904388189316,-0.016115935519337654
series_2,0.07324278354644775,0.14832845330238342,0.21610495448112488,0.3492725193500519,-0.0412980318069458,0.18788355588912964,-0.16195739805698395,-0.03512062877416611,-0.14418035745620728,-0.02768031321465969,-0.1713148057460785,-0.19660715758800507,-0.1504010111093521,0.1780884712934494,-0.10930640250444412,-0.29665228724479675,-0.3112837076187134,-0.0743403509259224,0.22628727555274963,-0.1880412995815277,-0.10879087448120117,0.011459610424935818,0.2944551110267639,0.10412078350782394,0.06246087700128555,0.03703309968113899,0.19035643339157104,0.20081521570682526,0.08084087818861008,-0.10679339617490768,-0.28179213404655457,0.09401226043701172,0.05831143260002136,-0.14433792233467102,-0.009098929353058338,0.09990373253822327,-0.034426718950271606,-0.3336775302886963,-0.16767238080501556,0.3895244598388672,-0.034023676067590714,-0.100846067070961,0.13401959836483002,0.02302459068596363,0.14972969889640808,-0.04045398533344269,-0.2726294696331024,-0.1861475110054016,0.2315024733543396,-0.21012438833713531,-0.2233913391828537,0.1726653128862381,0.13546647131443024,0.3829742968082428,0.12924858927726746,-0.04387786611914635,-0.3861164152622223,0.006303007248789072,-0.26092302799224854,-0.15640176832675934,-0.04694690555334091,-0.3905302882194519,0.08318408578634262,-0.02193954400718212
series_3,0.056683268398046494,0.23378778994083405,0.3004991114139557,0.4626065194606781,0.019788119941949844,0.2798117995262146,-0.2740030884742737,-0.05742946267127991,-0.24880336225032806,-0.04486525431275368,-0.19172456860542297,-0.2028241753578186,-0.2292119413614273,0.2820316255092621,-0.09779763966798782,-0.44477808475494385,-0.40545573830604553,-0.1356799453496933,0.3072687089443207,-0.2765018045902252,-0.16010215878486633,-0.07100836932659149,0.3713647127151489,0.1620948612689972,0.05992677062749863,0.018691081553697586,0.27964451909065247,0.31312260031700134,0.03006577119231224,-0.12537704408168793,-0.38715359568595886,0.06953585892915726,0.08117296546697617,-0.1901959478855133,0.011043325997889042,0.08361831307411194,-0.039091549813747406,-0.4490851163864136,-0.2501460909843445,0.49883416295051575,0.009335880167782307,-0.13428205251693726,0.18851405382156372,0.01909828372299671,0.20776183903217316,-0.014849565923213959,-0.3570556342601776,-0.2284712940454483,0.3653390109539032,-0.31749412417411804,-0.34278684854507446,0.20388011634349823,0.20452286303043365,0.49744829535484314,0.13138934969902039,-0.0744074210524559,-0.46410924196243286,0.05023093894124031,-0.3718099594116211,-0.24653322994709015,-0.11797509342432022,-0.5738948583602905,0.0577242411673069,0.01573161594569683
series_4,0.05763660743832588,0.10437309741973877,0.2033233940601349,0.3228171169757843,-0.010685057379305363,0.19431911408901215,-0.13186228275299072,-0.039630189538002014,-0.15707452595233917,0.001209648442454636,-0.1497330665588379,-0.23103193938732147,-0.18644265830516815,0.15909911692142487,-0.1154073178768158,-0.2897421419620514,-0.32290804386138916,-0.05959067866206169,0.20744815468788147,-0.21418437361717224,-0.09803518652915955,-0.004013681318610907,0.28848814964294434,0.12661829590797424,0.08661270886659622,0.07535199820995331,0.17583365738391876,0.21349409222602844,0.07517066597938538,-0.09936201572418213,-0.21567979454994202,0.059083253145217896,0.05738617852330208,-0.1558927744626999,-0.004565721843391657,0.09376929700374603,-0.05905086174607277,-0.3294804096221924,-0.13852559030056,0.38149166107177734,-0.03330771252512932,-0.06665030866861343,0.1174621433019638,0.024640383198857307,0.13101615011692047,-0.05665488541126251,-0.2466600388288498,-0.15025648474693298,0.22808022797107697,-0.17770521342754364,-0.20113681256771088,0.19461962580680847,0.16178326308727264,0.3263735771179199,0.10974361002445221,-0.041892342269420624,-0.3552941381931305,0.015088366344571114,-0.2517623007297516,-0.18018721044063568,-0.028363827615976334,-0.3428531289100647,0.08141137659549713,-0.031358685344457626
series_5,0.05163523182272911,0.2257416993379593,0.3083847463130951,0.44621017575263977,0.020450778305530548,0.27456820011138916,-0.26483243703842163,-0.04890672490000725,-0.23106880486011505,-0.07135210186243057,-0.20323187112808228,-0.20444901287555695,-0.1905333548784256,0.2597750127315521,-0.093398317694664,-0.4028017222881317,-0.3685998320579529,-0.10093113034963608,0.32634225487709045,-0.251129150390625,-0.1732279360294342,-0.0513710081577301,0.3834357261657715,0.14490242302417755,0.07533666491508484,0.0009381576674059033,0.26571929454803467,0.2940184473991394,0.06666932255029678,-0.1366923302412033,-0.37341710925102234,0.08545569330453873,0.05240773409605026,-0.17947827279567719,0.037963926792144775,0.08149965107440948,-0.033065542578697205,-0.4475657641887665,-0.2347608059644699,0.48020628094673157,0.009400543756783009,-0.16213180124759674,0.16362151503562927,0.015680404379963875,0.21313230693340302,-0.025476060807704926,-0.3524187505245209,-0.24402272701263428,0.3400953412055969,-0.3365243673324585,-0.33494487404823303,0.19287081062793732,0.19231556355953217,0.48566606640815735,0.13873310387134552,-0.06863713264465332,-0.460563063621521,0.041653092950582504,-0.3558686673641205,-0.21872767806053162,-0.08996232599020004,-0.5527226328849792,0.06057847663760185,-0.007386276964098215
series_6,0.04779918119311333,0.19940803945064545,0.262143075466156,0.4175682067871094,0.02004023641347885,0.2668871581554413,-0.22881098091602325,-0.052581436932086945,-0.24303928017616272,-0.016063673421740532,-0.1642804741859436,-0.23359757661819458,-0.24074380099773407,0.24688385426998138,-0.08461065590381622,-0.4145466387271881,-0.4066712558269501,-0.130350261926651,0.2721681296825409,-0.3049561083316803,-0.12269251048564911,-0.06370022892951965,0.37414538860321045,0.1590757519006729,0.05203660577535629,0.058364417403936386,0.2511596381664276,0.29745984077453613,0.003928701393306255,-0.11270878463983536,-0.33085599541664124,0.0609104260802269,0.06682857125997543,-0.21415098011493683,0.004055195953696966,0.08688750118017197,-0.0697244331240654,-0.4255055785179138,-0.20496059954166412,0.4849228858947754,-0.0038651402574032545,-0.0967947468161583,0.17294512689113617,0.04142614081501961,0.1881677657365799,-0.01592845469713211,-0.3348678648471832,-0.1931537687778473,0.33749809861183167,-0.2604159712791443,-0.3083532452583313,0.2079220414161682,0.2068631649017334,0.4452897906303406,0.121444471180439,-0.08231611549854279,-0.4328824579715729,0.049456220120191574,-0.3695673644542694,-0.2547292113304138,-0.09254536032676697,-0.5128638744354248,0.08031176775693893,0.010325823910534382
series_7,0.07564981281757355,0.17345373332500458,0.26683083176612854,0.36531397700309753,-0.02398890256881714,0.20014688372612,-0.17988429963588715,-0.022959742695093155,-0.14471179246902466,-0.057072822004556656,-0.17779171466827393,-0.19256429374217987,-0.1381382793188095,0.1936601847410202,-0.11192461848258972,-0.2947869598865509,-0.29983463883399963,-0.07943294942378998,0.25465020537376404,-0.1813947707414627,-0.11884564161300659,-0.006219299044460058,0.3211815655231476,0.12034949660301208,0.07493802905082703,0.025350477546453476,0.2101953774690628,0.2057691365480423,0.10220415145158768,-0.11600462347269058,-0.29719260334968567,0.10439096391201019,0.05062755197286606,-0.15119336545467377,0.030151305720210075,0.08778244256973267,-0.03470229357481003,-0.3585547208786011,-0.18812711536884308,0.4093930721282959,-0.01943558268249035,-0.13774283230304718,0.1171393021941185,0.037879858165979385,0.16186368465423584,-0.03941880166530609,-0.29510852694511414,-0.2087118774652481,0.23758834600448608,-0.2578428387641907,-0.24670813977718353,0.17936375737190247,0.1348252296447754,0.40486714243888855,0.1355644166469574,-0.0491219200193882,-0.3953971564769745,0.005190106574445963,-0.291690856218338,-0.15933758020401,-0.0501098707318306,-0.4083854556083679,0.09515783935785294,-0.026110509410500526
series_8,0.0537276454269886,0.19851912558078766,0.2857501804828644,0.41800203919410706,0.02915845438838005,0.264811247587204,-0.2656588554382324,-0.04646705090999603,-0.22540521621704102,-0.03792567923665047,-0.1815144419670105,-0.21203815937042236,-0.20805121958255768,0.25264665484428406,-0.08962412178516388,-0.38942238688468933,-0.37699413299560547,-0.12918595969676971,0.307817280292511,-0.2745666801929474,-0.16586829721927643,-0.07563449442386627,0.3794073164463043,0.16085998713970184,0.08793643116950989,0.01675984635949135,0.2598784863948822,0.29787710309028625,0.03802746161818504,-0.12447131425142288,-0.34980151057243347,0.07162799686193466,0.06418914347887039,-0.19005249440670013,0.04024909809231758,0.08114635199308395,-0.05702538788318634,-0.431497186422348,-0.2177148312330246,0.47833964228630066,0.015192878432571888,-0.1403094381093979,0.1502198725938797,0.02954244799911976,0.20577190816402435,-0.024126268923282623,-0.3467249572277069,-0.23332913219928741,0.3498486280441284,-0.33087584376335144,-0.33167564868927,0.20701964199543,0.19895748794078827,0.46149879693984985,0.13875508308410645,-0.07501222938299179,-0.45478296279907227,0.05845082178711891,-0.3752460181713104,-0.24559591710567474,-0.09180228412151337,-0.5192670226097107,0.06537015736103058,0.00326112424954772
series_9,0.057088952511548996,0.24998082220554352,0.348731130361557,0.48518750071525574,-0.0013179451925680041,0.28486523032188416,-0.2845394015312195,-0.04428992047905922,-0.23453326523303986,-0.08141328394412994,-0.21508949995040894,-0.19288872182369232,-0.18458592891693115,0.2860766351222992,-0.11102636158466339,-0.4216495752334595,-0.37572216987609863,-0.10446705669164658,0.3407207131385803,-0.23371067643165588,-0.1859256476163864,-0.04402792453765869,0.37630659341812134,0.1515749990940094,0.0905410423874855,-0.008491863496601582,0.28647729754447937,0.2971482574939728,0.08034693449735641,-0.15374818444252014,-0.41687044501304626,0.10020062327384949,0.050848186016082764,-0.1710885912179947,0.03128000348806381,0.09540124982595444,-0.02871970273554325,-0.4825652837753296,-0.2422993928194046,0.4984976649284363,0.0035686579067260027,-0.19291891157627106,0.180710107088089,0.02007514424622059,0.21967735886573792,-0.027337275445461273,-0.35975879430770874,-0.26695477962493896,0.3595561385154724,-0.36765047907829285,-0.34727907180786133,0.18638551235198975,0.19961445033550262,0.5170280337333679,0.1524960994720459,-0.07603652030229568,-0.4914263188838959,0.025188380852341652,-0.3699491322040558,-0.20566029846668243,-0.09931125491857529,-0.5972415208816528,0.07235823571681976,-0.013909372501075268
