Sample,Learner,Weight
Sample 0,Moirai,1.0
Sample 1,Time-MoE,1.0
Sample 2,Timer,1.0
Sample 3,Time-MoE,1.0
Sample 4,Timer,1.0
Sample 5,Time-MoE,1.0
Sample 6,Moirai,1.0
Sample 7,Timer,1.0
Sample 8,TimesFM,1.0
Sample 9,Moirai,1.0
Sample 10,TimesFM,1.0
Sample 11,Chronos,1.0
Sample 12,Timer,1.0
Sample 13,Time-MoE,1.0
Sample 14,Moirai,1.0
Sample 15,Timer,1.0
Sample 16,Timer,1.0
Sample 17,Time-MoE,1.0
Sample 18,Timer,1.0
Sample 19,Time-MoE,1.0
Sample 20,Timer,1.0
Sample 21,Time-MoE,1.0
Sample 22,TimesFM,1.0
Sample 23,Timer,1.0
Sample 24,TimesFM,1.0
Sample 25,Time-MoE,1.0
Sample 26,Time-MoE,1.0
Sample 27,Timer,1.0
Sample 28,Moirai,1.0
Sample 29,Time-MoE,1.0
Sample 30,Moirai,1.0
Sample 31,Timer,1.0
Sample 32,Moirai,1.0
Sample 33,TimesFM,1.0
Sample 34,Timer,1.0
Sample 35,Moirai,1.0
Sample 36,Time-MoE,1.0
Sample 37,Time-MoE,1.0
Sample 38,Time-MoE,1.0
Sample 39,Timer,1.0
Sample 40,Moirai,1.0
Sample 41,Chronos,1.0
Sample 42,Timer,1.0
Sample 43,Timer,1.0
Sample 44,Timer,1.0
Sample 45,Chronos,1.0
Sample 46,Time-MoE,1.0
Sample 47,Timer,1.0
Sample 48,TimesFM,1.0
Sample 49,Time-MoE,1.0
Sample 50,Chronos,1.0
Sample 51,Time-MoE,1.0
Sample 52,Time-MoE,1.0
Sample 53,Time-MoE,1.0
Sample 54,Timer,1.0
Sample 55,Timer,1.0
Sample 56,Timer,1.0
Sample 57,Moirai,1.0
Sample 58,Time-MoE,1.0
Sample 59,Timer,1.0
Sample 60,Timer,1.0
Sample 61,Time-MoE,1.0
Sample 62,Time-MoE,1.0
Sample 63,Timer,1.0
Sample 0,Chronos,1.0
Sample 1,Moirai,1.0
Sample 2,Timer,1.0
Sample 3,Chronos,1.0
Sample 4,Moirai,1.0
Sample 5,Time-MoE,1.0
Sample 6,Chronos,1.0
Sample 7,Chronos,1.0
Sample 8,Chronos,1.0
Sample 9,Moirai,1.0
Sample 10,Moirai,1.0
Sample 11,Timer,1.0
Sample 12,Chronos,1.0
Sample 13,Timer,1.0
Sample 14,Timer,1.0
Sample 15,Time-MoE,1.0
Sample 16,Chronos,1.0
Sample 17,Chronos,1.0
Sample 18,Chronos,1.0
Sample 19,TimesFM,1.0
Sample 20,Moirai,1.0
Sample 21,Time-MoE,1.0
Sample 22,Chronos,1.0
Sample 23,Chronos,1.0
Sample 24,Timer,1.0
Sample 25,Chronos,1.0
Sample 26,Time-MoE,1.0
Sample 27,Chronos,1.0
Sample 28,TimesFM,1.0
Sample 29,Chronos,1.0
Sample 30,Moirai,1.0
Sample 31,Moirai,1.0
Sample 0,Chronos,1.0
Sample 1,Moirai,1.0
Sample 2,Timer,1.0
Sample 3,Chronos,1.0
Sample 4,Moirai,1.0
Sample 5,Time-MoE,1.0
Sample 6,Chronos,1.0
Sample 7,Chronos,1.0
Sample 8,Chronos,1.0
Sample 9,Moirai,1.0
Sample 10,Moirai,1.0
Sample 11,Timer,1.0
Sample 12,Chronos,1.0
Sample 13,Timer,1.0
Sample 14,Timer,1.0
Sample 15,Time-MoE,1.0
Sample 16,Chronos,1.0
Sample 17,Chronos,1.0
Sample 18,Chronos,1.0
Sample 19,TimesFM,1.0
Sample 20,Moirai,1.0
Sample 21,Time-MoE,1.0
Sample 22,Chronos,1.0
Sample 23,Chronos,1.0
Sample 24,Timer,1.0
Sample 25,Chronos,1.0
Sample 26,Time-MoE,1.0
Sample 27,Chronos,1.0
Sample 28,TimesFM,1.0
Sample 29,Chronos,1.0
Sample 30,Moirai,1.0
Sample 31,Moirai,1.0
Sample 0,Chronos,1.0
Sample 1,Moirai,1.0
Sample 2,Timer,1.0
Sample 3,Chronos,1.0
Sample 4,Moirai,1.0
Sample 5,Time-MoE,1.0
Sample 6,Chronos,1.0
Sample 7,Chronos,1.0
Sample 8,Chronos,1.0
Sample 9,Moirai,1.0
Sample 10,Moirai,1.0
Sample 11,Timer,1.0
Sample 12,Chronos,1.0
Sample 13,Timer,1.0
Sample 14,Timer,1.0
Sample 15,Time-MoE,1.0
Sample 16,Chronos,1.0
Sample 17,Chronos,1.0
Sample 18,Chronos,1.0
Sample 19,TimesFM,1.0
Sample 20,Moirai,1.0
Sample 21,Time-MoE,1.0
Sample 22,Chronos,1.0
Sample 23,Chronos,1.0
Sample 24,Timer,1.0
Sample 25,Chronos,1.0
Sample 26,Time-MoE,1.0
Sample 27,Chronos,1.0
Sample 28,TimesFM,1.0
Sample 29,Chronos,1.0
Sample 30,Moirai,1.0
Sample 31,Moirai,1.0
Sample 0,Chronos,1.0
Sample 1,Moirai,1.0
Sample 2,Timer,1.0
Sample 3,Chronos,1.0
Sample 4,Moirai,1.0
Sample 5,Time-MoE,1.0
Sample 6,Chronos,1.0
Sample 7,Chronos,1.0
Sample 8,Chronos,1.0
