series,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64
series_0,-0.01341125089675188,0.3996177315711975,0.37797826528549194,0.514156699180603,-0.051585834473371506,0.32068485021591187,-0.675084114074707,-0.0830267146229744,-0.4736540913581848,-0.18682169914245605,-0.5137509703636169,-0.23622463643550873,-0.17967811226844788,0.33440831303596497,0.02657240815460682,-0.5890316367149353,-0.7466782927513123,0.23873524367809296,0.24752388894557953,-0.43075039982795715,-0.35931968688964844,0.14550712704658508,0.45392167568206787,0.20516996085643768,0.03637104108929634,-0.31862106919288635,0.2743843197822571,0.35740670561790466,0.2770552933216095,-0.16651146113872528,-0.4659441113471985,-0.005824963562190533,0.10786572843790054,-0.27672404050827026,-0.08817282319068909,-0.013911916874349117,-0.1305372714996338,-0.6847848892211914,0.043851807713508606,0.3779580593109131,0.09151214361190796,-0.1365247368812561,0.4692050814628601,-0.31840673089027405,0.5157268047332764,-0.23160231113433838,-0.3664778769016266,-0.37663060426712036,0.00033145275665447116,-0.15440508723258972,-0.25430941581726074,-0.056881725788116455,0.400190532207489,0.34910860657691956,0.14172351360321045,0.3510359823703766,-0.6225592494010925,-0.05729851499199867,-0.36191922426223755,0.002055676653981209,-0.06861085444688797,-0.9611325860023499,-0.18405693769454956,-0.08060138672590256
series_1,3.7754885852336884e-05,0.41056331992149353,0.37945571541786194,0.5049917697906494,-0.07427474856376648,0.2954704761505127,-0.6611237525939941,-0.0733417198061943,-0.4540283679962158,-0.17907194793224335,-0.4879106879234314,-0.19383619725704193,-0.17763182520866394,0.3201792240142822,0.03486156463623047,-0.5803658962249756,-0.6815432906150818,0.21227864921092987,0.22879791259765625,-0.3731846511363983,-0.3589634597301483,0.13261531293392181,0.40156060457229614,0.17874595522880554,0.02896224334836006,-0.3075760304927826,0.27843227982521057,0.32301273941993713,0.28773534297943115,-0.15600018203258514,-0.4681510627269745,-0.004377285949885845,0.08820245414972305,-0.25572144985198975,-0.09263993799686432,-0.0012955544516444206,-0.09184876829385757,-0.6659461855888367,0.03936097025871277,0.36121895909309387,0.06791939586400986,-0.16909170150756836,0.4421086013317108,-0.29516008496284485,0.48539018630981445,-0.20947499573230743,-0.34018364548683167,-0.3674440383911133,-0.0019932922441512346,-0.17836064100265503,-0.2697432339191437,-0.048742569983005524,0.3662879168987274,0.3375471532344818,0.1528255194425583,0.34590426087379456,-0.6234406232833862,-0.0400734581053257,-0.34758898615837097,0.022801587358117104,-0.06728094071149826,-0.9573859572410583,-0.18524518609046936,-0.0730658769607544
series_2,0.03212752938270569,0.263663649559021,0.29550811648368835,0.42249515652656555,-0.07173754274845123,0.201707124710083,-0.4235769212245941,-0.06999067217111588,-0.3261420726776123,-0.12571492791175842,-0.3315395712852478,-0.15703615546226501,-0.16736575961112976,0.20979003608226776,0.012588417157530785,-0.43570297956466675,-0.4623458683490753,0.10931317508220673,0.1847652643918991,-0.22148476541042328,-0.2595561742782593,0.08343662321567535,0.2847784161567688,0.1354784071445465,0.026308026164770126,-0.18293046951293945,0.21665863692760468,0.26607346534729004,0.23247964680194855,-0.11290354281663895,-0.34719595313072205,-0.047022994607686996,0.11314348876476288,-0.1784081757068634,-0.02774360030889511,0.04326385259628296,-0.012909612618386745,-0.4640118181705475,-0.044594407081604004,0.267478346824646,-0.0009004981257021427,-0.16683688759803772,0.2655594050884247,-0.20513533055782318,0.3637726306915283,-0.1610831320285797,-0.2555082142353058,-0.2577551603317261,0.02619701437652111,-0.18369373679161072,-0.17912742495536804,0.07465386390686035,0.23756422102451324,0.2606816589832306,0.10693945735692978,0.20066872239112854,-0.4515089988708496,-0.020974595099687576,-0.25350379943847656,-0.06688861548900604,-0.08651749044656754,-0.659602165222168,-0.11667525768280029,-0.06488645076751709
series_3,-0.06698985397815704,0.49769097566604614,0.4657025635242462,0.5269509553909302,-0.10853628814220428,0.3595665991306305,-0.9587763547897339,-0.013234252110123634,-0.5531060695648193,-0.20959840714931488,-0.683556079864502,-0.2568872570991516,-0.07679960876703262,0.42520755529403687,0.04254484921693802,-0.6744542121887207,-0.9543617367744446,0.3330565392971039,0.2989838123321533,-0.6636122465133667,-0.502606987953186,0.2645740807056427,0.6549842357635498,0.33665931224823,0.03331788256764412,-0.4189310073852539,0.26452645659446716,0.32380980253219604,0.21710418164730072,-0.21480488777160645,-0.5645302534103394,0.0902436152100563,0.06289885938167572,-0.39236170053482056,-0.1189645305275917,-0.06127727031707764,-0.35860082507133484,-0.8500024676322937,0.17921052873134613,0.39325302839279175,0.13660928606987,-0.05810728296637535,0.6686196327209473,-0.3411766588687897,0.6255791187286377,-0.24647574126720428,-0.4920363128185272,-0.49225854873657227,-0.09276361018419266,-0.08767035603523254,-0.30377310514450073,-0.22351093590259552,0.5117071270942688,0.4196447730064392,0.18527300655841827,0.5799573063850403,-0.8168149590492249,-0.10125890374183655,-0.42294880747795105,0.20183788239955902,0.05805756151676178,-1.1446019411087036,-0.24260850250720978,-0.0937572792172432
series_4,0.029598761349916458,0.17341433465480804,0.2523854076862335,0.38054159283638,-0.04860415682196617,0.18915745615959167,-0.32689225673675537,-0.07848405092954636,-0.28535085916519165,-0.08254189789295197,-0.27164196968078613,-0.19239886105060577,-0.19440412521362305,0.15322156250476837,-0.008864058181643486,-0.3812772035598755,-0.42595112323760986,0.0940331369638443,0.1780311018228531,-0.21661847829818726,-0.20454701781272888,0.08743183314800262,0.27221304178237915,0.13315537571907043,0.0639209896326065,-0.10190124064683914,0.20520183444023132,0.2570936381816864,0.20201632380485535,-0.10712015628814697,-0.2727225124835968,-0.0527743361890316,0.10202067345380783,-0.17501309514045715,-0.006016287952661514,0.05416705086827278,-0.01529840286821127,-0.4181996285915375,-0.04776349663734436,0.24792666733264923,-0.008008455857634544,-0.13455535471439362,0.20100048184394836,-0.16452656686306,0.3055148124694824,-0.15193869173526764,-0.22395046055316925,-0.21600930392742157,0.054498545825481415,-0.16188427805900574,-0.14073601365089417,0.1266477406024933,0.23577411472797394,0.21678082644939423,0.10607630759477615,0.1389087438583374,-0.38942989706993103,-0.015312214381992817,-0.2388255000114441,-0.12366480380296707,-0.0657888799905777,-0.5311782360076904,-0.05817794054746628,-0.08969582617282867
series_5,-0.021759245544672012,0.44221431016921997,0.39107590913772583,0.5171157121658325,-0.06308102607727051,0.3229297995567322,-0.7435710430145264,-0.08210521191358566,-0.496660441160202,-0.20879492163658142,-0.5604056715965271,-0.216326504945755,-0.17725981771945953,0.35025840997695923,0.04765000939369202,-0.6320976614952087,-0.7742965817451477,0.2570837438106537,0.2511086165904999,-0.4671154320240021,-0.3974091410636902,0.15316042304039001,0.4748050570487976,0.2095182240009308,0.008601355366408825,-0.3375312387943268,0.26240023970603943,0.3430575430393219,0.2566661536693573,-0.16289463639259338,-0.4883699119091034,0.010949169285595417,0.0935806855559349,-0.2882823944091797,-0.09626244753599167,-0.019344329833984375,-0.15744997560977936,-0.6963585615158081,0.0755872130393982,0.373734712600708,0.09337294101715088,-0.1248391792178154,0.5072713494300842,-0.3297337591648102,0.5268387794494629,-0.23670093715190887,-0.372149795293808,-0.3968278169631958,-0.03343077749013901,-0.13005182147026062,-0.2718726396560669,-0.11010624468326569,0.4118027985095978,0.3599785566329956,0.1498810052871704,0.4124890863895416,-0.66024249792099,-0.04280175641179085,-0.3585229814052582,0.07095851004123688,-0.05663043260574341,-1.0297048091888428,-0.23508107662200928,-0.06362386047840118
series_6,-0.05340619012713432,0.49432164430618286,0.44582638144493103,0.5374631881713867,-0.060548897832632065,0.36979907751083374,-0.8782193660736084,-0.0634484514594078,-0.5463494062423706,-0.23612838983535767,-0.6649121642112732,-0.2714926302433014,-0.13853028416633606,0.4078563153743744,0.04350140690803528,-0.6780232191085815,-0.9207126498222351,0.314551442861557,0.29227977991104126,-0.622789740562439,-0.45130959153175354,0.21433047950267792,0.6059933304786682,0.2920607328414917,0.019906941801309586,-0.38338765501976013,0.25284260511398315,0.3508106470108032,0.22513632476329803,-0.19515344500541687,-0.5321642160415649,0.056424397975206375,0.08623353391885757,-0.3578283190727234,-0.10785979777574539,-0.05008402466773987,-0.2870585322380066,-0.7911145091056824,0.13781806826591492,0.40594613552093506,0.1262333244085312,-0.06976895779371262,0.6169881820678711,-0.3464384973049164,0.5995506048202515,-0.2571920156478882,-0.4423857033252716,-0.4578173756599426,-0.07409835606813431,-0.06853172183036804,-0.28301289677619934,-0.18964853882789612,0.49024373292922974,0.4076725244522095,0.16104625165462494,0.5039884448051453,-0.7485303282737732,-0.08972840011119843,-0.4064346253871918,0.1434914469718933,-0.0004489884595386684,-1.125525951385498,-0.24200251698493958,-0.07869768142700195
series_7,0.04253501817584038,0.23710131645202637,0.3164079487323761,0.43663331866264343,-0.09539256244897842,0.1897323727607727,-0.366148442029953,-0.04191887751221657,-0.2907489538192749,-0.10043851286172867,-0.29005172848701477,-0.15369920432567596,-0.1517212688922882,0.21096187829971313,-0.02540786750614643,-0.38740891218185425,-0.4094325006008148,0.09568661451339722,0.18011318147182465,-0.16817601025104523,-0.24415867030620575,0.09703168272972107,0.25350886583328247,0.1522766649723053,0.07280085980892181,-0.1553158313035965,0.2247176170349121,0.2268381416797638,0.24987001717090607,-0.12886837124824524,-0.33186423778533936,-0.04338754341006279,0.10831543058156967,-0.16222259402275085,-0.038332097232341766,0.04476531967520714,-0.007035649847239256,-0.46508699655532837,-0.07240064442157745,0.27106714248657227,-0.018368756398558617,-0.18092523515224457,0.2456788271665573,-0.15215390920639038,0.3253418803215027,-0.13788707554340363,-0.2531542181968689,-0.2322016954421997,0.05821554362773895,-0.19658878445625305,-0.16951827704906464,0.11528908461332321,0.21948584914207458,0.2704654633998871,0.11305650323629379,0.15206880867481232,-0.4467918276786804,-0.04370071738958359,-0.25009068846702576,-0.08897868543863297,-0.06422080099582672,-0.5990232229232788,-0.050889257341623306,-0.07395676523447037
series_8,-0.0020163627341389656,0.36613139510154724,0.3542211353778839,0.5008547306060791,-0.06106359884142876,0.294917494058609,-0.6122569441795349,-0.08241850882768631,-0.4446573257446289,-0.1685965359210968,-0.46659040451049805,-0.21623495221138,-0.178133025765419,0.30422961711883545,0.019573578611016273,-0.5487868785858154,-0.6801565885543823,0.20692802965641022,0.23702974617481232,-0.3733566701412201,-0.33596616983413696,0.13126780092716217,0.4101475477218628,0.18526965379714966,0.038674693554639816,-0.2898465394973755,0.2700579762458801,0.34419724345207214,0.2735861539840698,-0.1539611965417862,-0.4400135278701782,-0.017975207418203354,0.11109045892953873,-0.2510370910167694,-0.07292162626981735,0.002067108638584614,-0.09427192062139511,-0.6348896622657776,0.01972244493663311,0.35316818952560425,0.07148942351341248,-0.15444403886795044,0.4238103926181793,-0.2938481271266937,0.47784504294395447,-0.214017853140831,-0.3391900956630707,-0.3496912717819214,0.017856640741229057,-0.17576414346694946,-0.23850391805171967,-0.01857953518629074,0.3656655251979828,0.3314436972141266,0.1376994550228119,0.3084813356399536,-0.5869362950325012,-0.048337895423173904,-0.3405575156211853,-0.022456159815192223,-0.07762026786804199,-0.8911218047142029,-0.16510991752147675,-0.08111866563558578
series_9,2.0283274352550507e-05,0.4056396782398224,0.3780863285064697,0.5069888234138489,-0.07713724672794342,0.29406797885894775,-0.6531649231910706,-0.07499844580888748,-0.45318132638931274,-0.17676104605197906,-0.4839468002319336,-0.1926204264163971,-0.17884649336338043,0.31792011857032776,0.03206218034029007,-0.5774664878845215,-0.6772303581237793,0.2108881026506424,0.22691243886947632,-0.3680051267147064,-0.3574572801589966,0.1342553049325943,0.39707836508750916,0.17949724197387695,0.02895404025912285,-0.3046492636203766,0.2767701745033264,0.32174310088157654,0.28667357563972473,-0.156331866979599,-0.46493253111839294,-0.005442271940410137,0.08859439939260483,-0.2539939880371094,-0.09245910495519638,0.0016997801139950752,-0.08966446667909622,-0.6605777144432068,0.03771267831325531,0.3588070571422577,0.06505954265594482,-0.16988909244537354,0.44012075662612915,-0.29206109046936035,0.4803696870803833,-0.20858964323997498,-0.33644047379493713,-0.3642199635505676,0.0009033369715325534,-0.17753811180591583,-0.26455748081207275,-0.044591449201107025,0.36570271849632263,0.33630993962287903,0.15120278298854828,0.3420717716217041,-0.6207680106163025,-0.040235716849565506,-0.3435840308666229,0.019554780796170235,-0.06824404746294022,-0.9490683078765869,-0.18359620869159698,-0.07475188374519348
