series,mae,rmse,mape,actual_1,predicted_1,error_1,actual_2,predicted_2,error_2,actual_3,predicted_3,error_3,actual_4,predicted_4,error_4,actual_5,predicted_5,error_5,actual_6,predicted_6,error_6,actual_7,predicted_7,error_7,actual_8,predicted_8,error_8,actual_9,predicted_9,error_9,actual_10,predicted_10,error_10,actual_11,predicted_11,error_11,actual_12,predicted_12,error_12,actual_13,predicted_13,error_13,actual_14,predicted_14,error_14,actual_15,predicted_15,error_15,actual_16,predicted_16,error_16,actual_17,predicted_17,error_17,actual_18,predicted_18,error_18,actual_19,predicted_19,error_19,actual_20,predicted_20,error_20,actual_21,predicted_21,error_21,actual_22,predicted_22,error_22,actual_23,predicted_23,error_23,actual_24,predicted_24,error_24
series_0,4163.983188802083,5031.9140106755485,25.711475559772985,27789.7,19148.029296875,-8641.670703125,25183.2,20118.80859375,-5064.391406250001,19393.069,19958.9453125,565.8763125000005,19029.011,18611.771484375,-417.2395156249986,12994.047,18997.388671875,6003.3416718749995,8530.6,18353.576171875,9822.976171875,11097.05,17817.353515625,6720.303515625001,16806.656,19403.583984375,2596.927984375001,17309.448,19295.7734375,1986.3254374999997,19315.0,18322.376953125,-992.623046875,13142.0,18765.384765625,5623.384765625,13733.9,19868.146484375,6134.246484375,16769.617,18137.224609375,1367.6076093750016,16158.6,17174.185546875,1015.5855468749996,15118.65,19863.109375,4744.459375,15956.8,18367.94921875,2411.1492187500007,14708.197,20102.125,5393.928,19575.5,19696.2578125,120.7578125,20573.7,18873.90234375,-1699.7976562500007,20793.05,18026.626953125,-2766.4230468749993,21652.3,17902.09765625,-3750.2023437499993,26039.1,18726.50390625,-7312.5960937499985,27854.15,19938.66015625,-7915.4898437500015,26706.5,19838.20703125,-6868.29296875
series_1,8472.328408854166,10645.396972053297,6.912201722742914,101023.05,104338.0703125,3315.020312499997,100827.842,106604.125,5776.282999999996,105101.774,108759.734375,3657.960374999995,98627.086,110069.78125,11442.695250000004,110063.759,110064.578125,0.8191249999945285,124984.55,112277.359375,-12707.190625000003,127520.6,112362.8359375,-15157.764062500006,124463.71,109844.21875,-14619.491250000006,117846.45,111549.8984375,-6296.551562499997,140134.65,113097.71875,-27036.931249999994,121224.45,118349.34375,-2875.106249999997,118101.95,110646.0,-7455.949999999997,120694.15,109950.25,-10743.899999999994,112617.6,108511.859375,-4105.740625000006,131617.05,113094.59375,-18522.45624999999,120166.5,112285.1953125,-7881.3046875,117565.351,119031.15625,1465.805250000005,122843.35,114738.859375,-8104.490625000006,118815.05,117329.90625,-1485.143750000003,123491.55,119077.3984375,-4414.151562500003,121959.0,120549.5,-1409.5,134999.651,117716.078125,-17283.572875000013,125083.95,114121.4609375,-10962.489062499997,108306.35,114921.9140625,6615.564062499994
series_2,11.83067116800944,15.805096320452208,60.58295039385828,25.057,36.124305725097656,11.067305725097658,32.087,36.60323715209961,4.516237152099606,53.143,33.25548553466797,-19.887514465332032,37.154,37.42656707763672,0.2725670776367153,27.997,37.619529724121094,9.622529724121094,17.086,37.16621398925781,20.080213989257814,44.926,41.20362091064453,-3.7223790893554707,32.888,36.50338363647461,3.6153836364746113,37.126,41.99870681762695,4.8727068176269555,20.263,37.33785629272461,17.074856292724608,34.608,42.91385269165039,8.305852691650394,30.292,36.693115234375,6.401115234374998,34.426,34.42366409301758,-0.0023359069824238077,33.036,38.40158462524414,5.365584625244139,23.071,37.218196868896484,14.147196868896483,45.502,46.949989318847656,1.4479893188476538,41.118,44.43584060668945,3.317840606689451,62.925,40.591552734375,-22.333447265624997,21.0,42.28937911987305,21.289379119873047,27.578,39.179290771484375,11.601290771484376,33.037,40.21275329589844,7.1757532958984385,17.998,38.86272048950195,20.864720489501952,23.124,41.56647491455078,18.442474914550782,8.682,57.19143295288086,48.50943295288086
series_3,2098.636555572916,2337.2560120915314,4.610660672720244,46950.18116,42799.4375,-4150.74366,41827.09783,43402.6328125,1575.5349825000012,45076.50362,44051.67578125,-1024.8278387500031,46389.77536,44586.3828125,-1803.3925474999996,47171.49638,46599.125,-572.3713799999969,50012.30072,47063.7421875,-2948.5585324999993,46845.19203,45572.41796875,-1272.7740612499983,44765.15217,43805.4453125,-959.7068575000012,43060.91848,45839.234375,2778.3158949999997,48692.46739,46117.8125,-2574.654889999998,42154.57065,44962.85546875,2808.2848187499985,39084.00181,42803.23046875,3719.2286587499984,46360.34964,42735.23828125,-3625.1113587500004,41808.14312,44636.109375,2827.9662549999994,46152.73551,44818.1953125,-1334.5401974999986,48674.14312,45278.44921875,-3395.6939012500006,49086.77174,46774.640625,-2312.1311149999965,50195.94565,47898.7890625,-2297.1565875000015,46782.46739,45794.55859375,-987.908796249998,46312.95471,44413.4609375,-1899.4937724999982,45064.69565,47033.3203125,1968.6246624999985,47167.30616,45476.3203125,-1690.9858475,45060.62681,43310.5,-1750.1268100000016,42223.68297,42134.5390625,-89.14390750000166
series_4,13996.151301269536,14598.938757446305,8315.306438476018,98.2,6521.048828125,6422.848828125,110.42,7756.68896484375,7646.26896484375,144.07,10368.1689453125,10224.0989453125,185.08,13340.5087890625,13155.4287890625,141.31,9539.4462890625,9398.1362890625,160.28,13173.4072265625,13013.1272265625,232.83,10478.294921875,10245.464921875,182.53,10728.416015625,10545.886015625,152.41,15192.1171875,15039.7071875,203.08,13086.03515625,12882.95515625,182.21,23601.734375,23419.524375,182.28,13743.134765625,13560.854765625,116.84,17120.384765625,17003.544765625,163.18,19400.40625,19237.22625,212.81,16270.4951171875,16057.6851171875,113.24,18104.54296875,17991.30296875,243.6,21312.833984375,21069.233984375,100.28,16523.890625,16423.610625,145.48,18982.673828125,18837.193828125,210.67,16023.39453125,15812.72453125,2089.23,12382.3173828125,10293.0873828125,1348.635,15069.8779296875,13721.2429296875,608.04,12841.5322265625,12233.4922265625,100.05,11773.03515625,11672.98515625
series_5,8975.652872395834,10708.476330514417,7.012783119384125,131427.264,120795.734375,-10631.529624999996,122243.65,116144.03125,-6099.618749999994,127762.567,114328.0546875,-13434.512312499995,118181.371,119043.5,862.1290000000008,120861.476,123597.3203125,2735.844312500005,133990.065,133441.453125,-548.6118750000023,134551.843,144933.59375,10381.750750000007,139378.438,147448.84375,8070.405750000005,131156.101,143630.921875,12474.820875000005,135610.319,145088.84375,9478.524750000011,125569.22,139562.796875,13993.576874999999,114702.235,136058.859375,21356.624375,141913.95,124536.0859375,-17377.86406250001,113062.894,123466.265625,10403.371625,131302.905,120117.1171875,-11185.787812499999,124448.721,123818.21875,-630.502250000005,127179.644,126221.5234375,-958.1205625000002,139554.321,132132.890625,-7421.430374999996,127947.9,143751.078125,15803.178125000006,138471.936,144652.734375,6180.798375000013,133396.381,141723.640625,8327.259625000006,136535.604,134062.5,-2473.103999999992,130203.352,135970.28125,5766.929250000001,119883.392,138702.765625,18819.373624999993
series_6,1668.407039713542,1983.650736685368,9.2701253870154,20108.568,18165.3515625,-1943.2164374999993,19950.123,18182.6796875,-1767.4433124999996,20564.013,17797.830078125,-2766.182921874999,18465.968,18392.68359375,-73.28440625000076,22062.317,19517.1953125,-2545.121687499999,19431.964,19327.482421875,-104.48157812499994,18139.408,19422.19921875,1282.7912187500006,18737.304,19447.7734375,710.4694374999999,17094.568,20207.10546875,3112.5374687500007,20754.039,20740.80859375,-13.23040625000067,21778.005,21617.8203125,-160.18468750000102,16778.1,20272.900390625,3494.8003906250015,18139.608,19567.08984375,1427.4818437499998,15315.597,18398.119140625,3082.5221406250002,16098.33,19048.59765625,2950.26765625,16063.292,18367.966796875,2304.6747968750005,19860.57,19484.501953125,-376.0680468749997,18475.4605,20735.673828125,2260.213328124999,17090.351,19251.298828125,2160.9478281250013,18221.818,19550.6015625,1328.7835625000007,17996.129,20300.81640625,2304.687406249999,20119.877,20343.697265625,223.8202656249996,22131.712,20473.70703125,-1658.0049687499995,17783.232,19773.78515625,1990.55315625
series_7,1.3839059794942539,2.035497672771197,,0.0,0.6270582675933838,0.6270582675933838,0.0,0.8264614939689636,0.8264614939689636,0.0,0.8808990120887756,0.8808990120887756,0.0,8.069012641906738,8.069012641906738,0.0,1.206809639930725,1.206809639930725,0.0,1.1484519243240356,1.1484519243240356,0.0,3.540700674057007,3.540700674057007,0.0,0.8382629156112671,0.8382629156112671,0.0,0.893660843372345,0.893660843372345,0.0,1.0858155488967896,1.0858155488967896,0.0,0.9794001579284668,0.9794001579284668,0.0,1.046184778213501,1.046184778213501,0.0,0.7177298069000244,0.7177298069000244,0.0,1.0429859161376953,1.0429859161376953,0.0,0.8450750708580017,0.8450750708580017,0.0,1.1857738494873047,1.1857738494873047,0.0,0.8571040034294128,0.8571040034294128,0.0,0.9432705640792847,0.9432705640792847,0.0,1.0940428972244263,1.0940428972244263,0.0,1.0003910064697266,1.0003910064697266,0.0,1.224123239517212,1.224123239517212,0.0,1.2441596984863281,1.2441596984863281,0.0,0.996831476688385,0.996831476688385,0.0,0.9195380806922913,0.9195380806922913
series_8,10400.089075520833,13515.267718266663,22.921520366317182,55843.059,35390.203125,-20452.855875,43662.115,35254.3359375,-8407.779062499998,42433.636,34722.69921875,-7710.936781249999,43763.468,35547.73046875,-8215.73753125,31957.605,33865.55859375,1907.9535937500004,25353.548,33952.859375,8599.311375000001,29409.901,32660.91015625,3251.0091562499983,39723.2,33987.23828125,-5735.961718749997,39824.21,33462.97265625,-6361.237343749999,41023.716,32995.08984375,-8028.62615625,34634.38,31082.634765625,-3551.7452343749974,30775.0,31928.046875,1153.046875,33591.81,29673.01953125,-3918.7904687499977,33652.0,31214.1171875,-2437.8828125,33139.216,29295.2890625,-3843.9269375000003,33084.33,31374.041015625,-1710.2889843750017,33622.885,29215.33203125,-4407.552968750002,38910.71,28474.859375,-10435.850625,44037.299,28398.30859375,-15638.990406249999,51613.955,28528.87890625,-23085.07609375,49125.435,27896.3359375,-21229.099062499998,56015.838,28411.9296875,-27603.908312500003,57979.956,28634.474609375,-29345.481390625,51991.966,29422.876953125,-22569.089046875
series_9,14120.418880208332,16839.780808762636,7.1926483955359295,156035.091,167821.59375,11786.502750000014,165185.891,165459.4375,273.54649999999674,162813.715,170836.28125,8022.5662500000035,163770.929,168904.421875,5133.492874999996,178849.9,170553.28125,-8296.618749999994,198395.411,181645.375,-16750.035999999993,198856.516,181439.140625,-17417.375375000003,189830.1,178961.03125,-10869.068750000006,176951.728,185668.078125,8716.350124999997,223820.444,191461.0,-32359.44399999999,199152.83,186679.28125,-12473.548749999987,191383.218,175119.640625,-16263.577374999993,195777.525,171840.671875,-23936.853124999994,176987.772,171284.34375,-5703.428249999997,204093.32,175132.71875,-28960.601250000007,196626.947,180143.953125,-16482.993874999986,192431.594,179157.875,-13273.719000000012,196506.04,177191.71875,-19314.321250000008,185967.7,187175.25,1207.5499999999884,191435.817,183881.828125,-7553.98887500001,189691.72,185044.515625,-4647.204375000001,216891.763,184288.53125,-32603.231750000006,212991.978,185213.3125,-27778.665500000003,172233.491,181298.859375,9065.368374999991
series_10,38.82833265177409,48.89480273936981,28.449390462390273,141.794,103.77644348144531,-38.0175565185547,66.847,101.4801025390625,34.633102539062506,207.144,104.25526428222656,-102.88873571777344,108.782,102.9985122680664,-5.78348773193359,103.519,116.80117797851562,13.28217797851562,175.307,124.70108795166016,-50.60591204833983,160.603,121.130859375,-39.47214062500001,134.397,125.02299499511719,-9.374005004882804,109.474,118.78904724121094,9.315047241210934,88.763,130.35443115234375,41.591431152343745,173.982,129.5294647216797,-44.45253527832031,74.206,119.38550567626953,45.17950567626953,192.464,131.62774658203125,-60.83625341796875,176.268,117.70307159423828,-58.56492840576172,60.381,105.46910858154297,45.08810858154297,165.624,113.21212768554688,-52.41187231445312,156.327,114.87871551513672,-41.44828448486328,137.019,130.73297119140625,-6.2860288085937555,161.95,143.3244171142578,-18.625582885742176,152.044,125.61161041259766,-26.432389587402355,101.19,114.41202545166016,13.222025451660159,126.403,117.45956420898438,-8.94343579101563,258.366,124.44834899902344,-133.91765100097655,101.591,133.09878540039062,31.50778540039063
series_11,5297.270933854167,6080.557697440061,7.4136375715192,79449.06341,75288.8515625,-4160.2118475000025,68867.30072,77264.0390625,8396.7383425,80519.52174,78097.7890625,-2421.7326774999965,78601.02717,79334.828125,733.8009549999988,82121.69203,83043.671875,921.9798449999944,79942.43478,85629.859375,5687.424595000004,76178.26449,80132.9296875,3954.6651974999986,72606.73007,77575.390625,4968.660554999995,76491.24819,79018.875,2527.6268100000016,78166.53804,80791.6953125,2625.1572725000005,72876.23188,78392.0,5515.768119999993,63846.80435,74459.7734375,10612.969087500001,79710.5471,75969.8984375,-3740.648662499996,67759.54891,78206.6796875,10447.130777500002,69073.35326,76592.4921875,7519.1389274999965,78222.77899,79953.375,1730.5960099999938,77157.09601,82084.296875,4927.200865000006,79149.05978,81847.140625,2698.080845000004,71830.86957,80417.6015625,8586.731992500005,71776.97826,77662.5859375,5885.6076774999965,68779.05978,79880.984375,11101.924595000004,70051.51268,78379.4140625,8327.9013825,70752.03804,74683.9609375,3931.9228975000005,65742.69565,71453.578125,5710.882475000006
series_12,4999.18265983073,5830.917276531826,69.51323774423851,2503.18,11298.45703125,8795.27703125,3434.47,10048.271484375,6613.801484375001,4413.427,9244.669921875,4831.242921875,7080.83,10254.1201171875,3173.2901171875,4529.64,12340.5,7810.86,4640.246,13106.037109375,8465.791109375,10544.43,19283.669921875,8739.239921875,13867.393,16336.392578125,2468.999578125,13288.181,16791.951171875,3503.7701718749995,10528.169,16160.484375,5632.315375,14895.056,11648.2314453125,-3246.8245546875005,12171.317,18411.181640625,6239.864640625001,17738.74,14038.0009765625,-3700.7390234375016,12981.997,18993.263671875,6011.266671875001,13399.785,14534.1650390625,1134.3800390625001,12329.858,14884.23828125,2554.38028125,10834.32,17451.87890625,6617.55890625,13760.515,26980.63671875,13220.12171875,19186.181,12291.4970703125,-6894.6839296875005,16038.215,18400.458984375,2362.243984375,11755.015,12630.220703125,875.2057031250006,19774.506,20399.013671875,624.5076718749988,15848.743,19941.84765625,4093.1046562499996,11285.988,13656.90234375,2370.9143437500006
series_13,21442.689119791667,25567.405786635136,7.405275218030008,282068.251,259856.953125,-22211.29787499999,266749.709,261156.109375,-5593.5996249999735,263955.059,254369.0,-9586.059000000008,249589.372,258903.375,9314.002999999997,282942.555,274386.0625,-8556.492499999993,311195.085,270364.0,-40831.08500000002,282676.803,276430.0,-6246.803000000014,273890.958,277433.71875,3542.760750000016,254296.989,280571.625,26274.636,270290.477,266326.21875,-3964.2582500000135,236541.086,251693.09375,15152.00774999999,238569.222,255259.1875,16689.96549999999,300576.2,267851.625,-32724.57500000001,270289.319,270673.1875,383.8684999999823,308774.26,258502.953125,-50271.30687500001,289163.481,265812.1875,-23351.29350000003,300916.539,275152.3125,-25764.22649999999,315859.502,275499.53125,-40359.97074999998,298235.465,279865.90625,-18369.558750000026,312028.582,274235.5625,-37793.019499999995,316167.415,277714.34375,-38453.07124999998,307279.623,269228.375,-38051.24800000002,279463.513,260376.1875,-19087.325499999977,240461.581,262513.6875,22052.106499999994
series_14,3065.5059293619793,3496.2402544311194,18.03592707411576,14965.393,10569.564453125,-4395.828546875,12294.272,10216.9580078125,-2077.313992187501,12951.07,9742.44140625,-3208.6285937499997,13252.589,10453.81640625,-2798.77259375,17581.307,11048.5107421875,-6532.796257812501,16337.001,11805.5576171875,-4531.4433828125,16418.611,12350.1357421875,-4068.475257812501,18755.313,12133.759765625,-6621.553234374998,18008.976,14461.904296875,-3547.0717031249987,22643.803,17880.642578125,-4763.160421875,20848.563,19633.4453125,-1215.1176874999983,14427.594,15351.4326171875,923.8386171875009,15772.682,12653.4267578125,-3119.2552421875007,14375.259,11437.8447265625,-2937.4142734375,14046.225,12693.814453125,-1352.4105468750004,13017.243,13524.234375,506.9913749999996,17294.108,13478.162109375,-3815.945890625,16953.42,16149.1806640625,-804.2393359374983,15031.754,14482.51171875,-549.2422812500008,17218.851,14122.19921875,-3096.6517812499987,18577.907,16370.6318359375,-2207.2751640624992,21508.623,19426.146484375,-2082.4765156249996,24142.437,20269.560546875,-3872.8764531250017,19778.453,15235.08984375,-4543.363156250001
